Country,Continent,Total cases,New cases,Total Deaths,New Deaths,Total Recovered,Active cases,Serious/ Critical,Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop
USA,North America,488905.00,20339.00,18000.00,1309.00,26187.00,444718.00,10896.00,1477.00,54.00,2487802.00,7516.00
Spain,Europe,157053.00,3831.00,15970.00,523.00,55668.00,85415.00,7371.00,3359.00,342.00,355000.00,7593.00
Italy,Europe,147577.00,3951.00,18849.00,570.00,30455.00,98273.00,3497.00,2441.00,312.00,906864.00,14999.00
France,Europe,124869.00,7120.00,13197.00,987.00,24932.00,86740.00,7004.00,1913.00,202.00,333807.00,5114.00
Germany,Europe,119624.00,1389.00,2607.00,,52407.00,64610.00,4895.00,1428.00,31.00,1317887.00,15730.00
China,Asia,81907.00,42.00,3336.00,1.00,77455.00,1116.00,144.00,57.00,2.00,,
UK,Europe,73758.00,8681.00,8958.00,980.00,135.00,64665.00,1559.00,1086.00,132.00,316836.00,4667.00
Iran,Asia,68192.00,1972.00,4232.00,122.00,35465.00,28495.00,3969.00,812.00,50.00,242568.00,2888.00
Turkey,Asia,47029.00,4747.00,1006.00,98.00,2423.00,43600.00,1667.00,558.00,12.00,307210.00,3643.00
Belgium,Europe,26667.00,1684.00,3019.00,496.00,5568.00,18080.00,1278.00,2301.00,260.00,84248.00,7269.00
Switzerland,Europe,24551.00,500.00,1001.00,53.00,10600.00,12950.00,386.00,2837.00,116.00,178500.00,20625.00
Netherlands,Europe,23097.00,1335.00,2511.00,115.00,250.00,20336.00,1424.00,1348.00,147.00,101534.00,5926.00
Canada,North America,21243.00,478.00,531.00,22.00,5580.00,15132.00,518.00,563.00,14.00,370315.00,9812.00
Brazil,South America,18397.00,252.00,974.00,20.00,173.00,17250.00,296.00,87.00,5.00,62985.00,296.00
Portugal,Europe,15472.00,1516.00,435.00,26.00,233.00,14804.00,226.00,1517.00,43.00,144000.00,14122.00
Austria,Europe,13549.00,305.00,319.00,24.00,6064.00,7166.00,261.00,1504.00,35.00,134743.00,14961.00
Russia,Europe,11917.00,1786.00,94.00,18.00,795.00,11028.00,8.00,82.00,0.60,1090000.00,7469.00
S. Korea,Asia,10450.00,27.00,208.00,4.00,7117.00,3125.00,55.00,204.00,4.00,503051.00,9812.00
Israel,Asia,10095.00,127.00,95.00,9.00,1061.00,8939.00,164.00,1166.00,11.00,117339.00,13557.00
Sweden,Europe,9685.00,544.00,870.00,77.00,381.00,8434.00,749.00,959.00,86.00,54700.00,5416.00
India,Asia,7347.00,622.00,229.00,2.00,641.00,6477.00,,5.00,0.20,177584.00,129.00
Ecuador,South America,7161.00,2196.00,297.00,25.00,368.00,6496.00,171.00,406.00,17.00,21568.00,1222.00
Ireland,Europe,6574.00,,263.00,,25.00,6286.00,194.00,1331.00,53.00,53000.00,10734.00
Chile,South America,6501.00,529.00,65.00,8.00,1571.00,4865.00,360.00,340.00,3.00,72797.00,3808.00
Norway,Europe,6298.00,79.00,112.00,4.00,32.00,6154.00,70.00,1162.00,21.00,123170.00,22720.00
Australia,Oceania,6203.00,51.00,53.00,2.00,3141.00,3009.00,74.00,243.00,2.00,338346.00,13269.00
Poland,Europe,5955.00,380.00,181.00,7.00,318.00,5456.00,160.00,157.00,5.00,118295.00,3126.00
Peru,South America,5897.00,641.00,169.00,31.00,1569.00,4159.00,130.00,179.00,5.00,56681.00,1719.00
